15.000000,0.000000,0.000000,1.000000,3.000000,0.000000,5.000000,0.600000,0.000000
15.000000,0.000000,0.000000,0.000000,1.000000,0.000000,7.000000,0.400000,0.000000
18.000000,1.000000,0.000000,1.000000,2.000000,0.000000,6.000000,0.333333,0.000000
17.000000,1.000000,0.000000,0.000000,1.000000,0.000000,5.000000,0.529412,0.000000
16.000000,1.000000,1.000000,0.000000,2.000000,0.000000,5.000000,0.687500,0.000000
12.000000,2.000000,0.000000,0.000000,1.000000,0.000000,6.000000,0.583333,0.000000
14.000000,1.000000,1.000000,1.000000,1.000000,0.000000,5.000000,0.357143,0.000000
14.000000,1.000000,0.000000,1.000000,1.000000,0.000000,5.000000,0.357143,0.000000
9.000000,2.000000,0.000000,0.000000,1.000000,0.000000,6.000000,0.333333,0.000000
22.000000,0.000000,2.000000,5.000000,2.000000,0.000000,6.000000,0.409091,0.000000
13.000000,1.000000,0.000000,0.000000,2.000000,0.000000,6.000000,0.461538,0.000000
17.000000,1.000000,0.000000,0.000000,1.000000,0.000000,7.000000,0.529412,0.000000
43.000000,2.000000,9.000000,10.000000,1.000000,0.000000,5.000000,0.488372,0.000000
15.000000,0.000000,0.000000,1.000000,1.000000,0.000000,5.000000,0.600000,0.000000
23.000000,3.000000,4.000000,5.000000,2.000000,0.000000,6.000000,0.434783,0.000000
23.000000,1.000000,7.000000,3.000000,2.000000,0.000000,5.000000,0.521739,0.000000
38.000000,0.000000,7.000000,9.000000,-1.000000,0.000000,5.000000,0.315789,0.000000
15.000000,0.000000,3.000000,1.000000,1.000000,0.000000,5.000000,0.266667,0.000000
7.000000,1.000000,0.000000,0.000000,1.000000,0.000000,5.000000,0.714286,0.000000
11.000000,1.000000,0.000000,1.000000,2.000000,0.000000,5.000000,0.545455,0.000000
21.000000,0.000000,3.000000,2.000000,2.000000,0.000000,5.000000,0.190476,0.000000
12.000000,1.000000,0.000000,0.000000,2.000000,0.000000,5.000000,0.583333,0.000000
