18.000000,0.000000,1.000000,3.000000,3.000000,0.000000,5.000000,0.500000,0.000000
18.000000,2.000000,3.000000,1.000000,1.000000,0.000000,6.000000,0.444444,0.000000
39.000000,3.000000,3.000000,12.000000,-1.000000,0.000000,4.000000,0.153846,1.000000
17.000000,2.000000,0.000000,0.000000,1.000000,0.000000,7.000000,0.529412,0.000000
18.000000,1.000000,3.000000,1.000000,2.000000,0.000000,6.000000,0.666667,0.000000
12.000000,3.000000,0.000000,0.000000,1.000000,0.000000,5.000000,0.583333,0.000000
17.000000,1.000000,4.000000,2.000000,1.000000,0.000000,5.000000,0.294118,0.000000
28.000000,4.000000,0.000000,8.000000,1.000000,0.000000,3.000000,0.678571,1.000000
10.000000,3.000000,1.000000,1.000000,1.000000,0.000000,5.000000,0.400000,0.000000
24.000000,2.000000,4.000000,6.000000,2.000000,0.000000,5.000000,0.375000,0.000000
13.000000,4.000000,0.000000,0.000000,2.000000,0.000000,6.000000,0.461538,0.000000
18.000000,2.000000,0.000000,1.000000,1.000000,0.000000,5.000000,0.500000,0.000000
54.000000,3.000000,12.000000,16.000000,1.000000,0.000000,8.000000,0.537037,0.000000
18.000000,3.000000,0.000000,2.000000,1.000000,0.000000,7.000000,0.500000,0.000000
25.000000,4.000000,8.000000,6.000000,2.000000,0.000000,6.000000,0.400000,0.000000
69.000000,1.000000,18.000000,25.000000,2.000000,0.000000,5.000000,0.333333,0.000000
94.000000,0.000000,16.000000,34.000000,-1.000000,0.000000,3.000000,0.276596,1.000000
16.000000,4.000000,3.000000,2.000000,1.000000,0.000000,6.000000,0.312500,0.000000
9.000000,2.000000,2.000000,0.000000,1.000000,0.000000,5.000000,0.777778,0.000000
14.000000,5.000000,0.000000,3.000000,2.000000,0.000000,5.000000,0.428571,0.000000
26.000000,2.000000,5.000000,3.000000,2.000000,0.000000,5.000000,0.192308,0.000000
13.000000,1.000000,0.000000,1.000000,2.000000,0.000000,6.000000,0.538462,0.000000
29.000000,1.000000,3.000000,7.000000,2.000000,0.000000,5.000000,0.448276,0.000000
23.000000,5.000000,6.000000,6.000000,2.000000,0.000000,5.000000,0.173913,0.000000
15.000000,11.000000,3.000000,3.000000,2.000000,0.000000,5.000000,0.400000,0.000000
14.000000,6.000000,0.000000,1.000000,3.000000,0.000000,6.000000,0.500000,0.000000
13.000000,5.000000,0.000000,1.000000,1.000000,0.000000,5.000000,0.769231,0.000000
21.000000,2.000000,2.000000,2.000000,1.000000,0.000000,7.000000,0.619048,0.000000
11.000000,4.000000,0.000000,0.000000,2.000000,0.000000,6.000000,0.272727,0.000000
42.000000,13.000000,1.000000,14.000000,1.000000,0.000000,5.000000,0.595238,0.000000
30.000000,9.000000,8.000000,5.000000,2.000000,0.000000,5.000000,0.233333,0.000000
22.000000,13.000000,5.000000,3.000000,1.000000,0.000000,5.000000,0.545455,0.000000
16.000000,9.000000,1.000000,4.000000,2.000000,0.000000,5.000000,0.625000,0.000000
13.000000,17.000000,1.000000,2.000000,2.000000,0.000000,6.000000,0.461538,0.000000
59.000000,4.000000,0.000000,17.000000,2.000000,0.000000,3.000000,0.881356,1.000000
9.000000,5.000000,2.000000,1.000000,2.000000,0.000000,8.000000,0.555556,0.000000
13.000000,2.000000,1.000000,1.000000,2.000000,0.000000,7.000000,0.615385,0.000000
18.000000,2.000000,3.000000,2.000000,2.000000,0.000000,5.000000,0.555556,0.000000
15.000000,0.000000,1.000000,1.000000,2.000000,0.000000,5.000000,0.600000,0.000000
32.000000,1.000000,4.000000,8.000000,1.000000,0.000000,6.000000,0.281250,0.000000
